country,description,designation,points,price,province,region_1,title,variety,winery,year,location,avg_temp,range_temp,stdv_temp,avg_precip,range_precip,stdv_precip,lat,lng,elevation,review_length,abv,bottle_size,category,importer
United States of America,"Smells of rust, iron, tomato and untracked peppercorns rise to the nose. On the palate, the wine is quite light and racy, with a little boysenberry and more sanguine flavors. Hold onto this one until 2016 for maximum enjoyment, as more flavors will emerge.",Guidotti Vineyard,88,61,California,Santa Lucia Highlands,Testarossa 2012 Guidotti Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa,2012,"Santa Lucia Highlands,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,44,14.5,750,Red,not_imported
United States of America,"The cherry, red currant, cola and oak flavors are delicious on this bone-dry Cab. Structuraly, however, the wine is so soft that the palate searches in vain for firmness and grip to complete the flavor experience.",GBH,84,75,California,Napa Valley,Heibel Ranch 2010 GBH Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Heibel Ranch,2010,"Napa Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.023468,-84.450465,243,36,14.5,750,Red,not_imported
Chile,A neutral nose offers mild notes of minerally rich vitamin but almost no discernible fruit. Lightly oaked pear flavors are distant and turn bitter in front of a finish that stands still.,Reserva Casillero del Diablo,84,11,Chile,,Concha y Toro 2015 Reserva Casillero del Diablo Chardonnay (Chile),Chardonnay,Concha y Toro,2015,"Chile,Chile",9.374296779,8.85241245,3.146808532,90.14825167,41.46938646,13.67420221,-31.761336,-71.31877,628,32,13.5,750,White,Excelsior Wines
United States of America,"Yorkville has been making this blend of Sémillon and Sauvignon Blanc (for this vintage it's 60% the first and 40% the latter), for many of its 25 years, and it achieves a nice balance, the Sémillon there for richness, texture and color, the SB for acidity and the wine's citrus and herb finish. Made from organic grapes.",Eleanor of Aquitaine,87,25,California,Yorkville Highlands,Yorkville Cellars 2010 Eleanor of Aquitaine White (Yorkville Highlands),White Blend,Yorkville Cellars,2010,"Yorkville Highlands,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,57,13.5,750,White,not_imported
United States of America,"The structure on this Pinot Noir is great, with brisk acidity and firm tannins accompanying dry flavors. There are succulent notes of sour cherry and raspberry candy, tart pomegranates and cola, but the wine is rustic, with no future.",Hitching Post Hometown,85,21,California,Santa Barbara County,Hartley-Ostini 2012 Hitching Post Hometown Pinot Noir (Santa Barbara County),Pinot Noir,Hartley-Ostini,2012,"Santa Barbara County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,34.713653,-119.985823,934,39,13.5,750,Red,not_imported
United States of America,"This is a meaty and soft wine with a lot of power behind it. Plummy, slightly jammy yet structured, it features appropriate accents of peppercorn, cedar and toasted oak. Full bodied, it's enjoyable now and a deal to boot.",Diamond Dust Vineyard,89,19,California,Alexander Valley,Trig Point 2013 Diamond Dust Vineyard Merlot (Alexander Valley),Merlot,Trig Point,2013,"Alexander Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.469459,-99.55317,642,39,14.5,750,Red,not_imported
United States of America,"Although this wine is listed as a white blend, the producer says the variety is Vernaccia, not found often in California. Light in alcohol and approach, it opens in a bouquet of waxy apple and Meyer lemon, followed by a medium-powered palate of pear. The finish is crisp and lean.",Santo Giordano Vineyard Belle Torrette,90,26,California,Carneros,Paro 2014 Santo Giordano Vineyard Belle Torrette White (Carneros),White Blend,Paro,2014,"Carneros,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,35.433993,-119.875774,518,50,12.8,750,White,not_imported
France,"A touch of funkiness hovers over fresh pear notes. The palate then offers fresh-faced, tart and ripe pear notes, etched with citrus freshness for extra precision and purity. This is so inviting and disarming, it is a joy to savor. Despite the generously ripe fruit, a coolness runs through this, anchoring the flavors in freshness and drive. Simply delicious and so balanced, so you can enjoy it now, though it will cellar well through 2027.",Roche Calcaire,94,55,Alsace,Alsace,Domaine Zind-Humbrecht 2015 Roche Calcaire Pinot Gris (Alsace),Pinot Gris,Domaine Zind-Humbrecht,2015,"Alsace,Alsace,France",10.99569921,14.43840141,5.074146556,76.11128248,57.33432783,18.02801744,49.127043,6.145731,170,75,13,750,White,Kobrand
Austria,"Zesty green citrus with lifted notes of Conference pear strike out for a fruity opening. The palate follows up with concentrated spiciness and even more grapefruit zest. This is lively, taut, slender, refreshing and full of tension, with an appetizing edge of pepper.",Kittmannsberg,91,14,Kamptal,,Nastl 2014 Kittmannsberg Gruner Veltliner (Kamptal),Grüner Veltliner,Nastl,2014,"Kamptal,Austria",7.394704769,19.45019365,6.792561746,80.54383606,50.32248083,15.54089694,48.380713,16.524664,171,43,12.5,750,White,Wine Without Borders
Greece,"Luscious aromas of ripe peach and citrus are followed by balanced waves of peach, lemon curd and melon on the palate. Soft in style and approachable, this is a good everyday white that drinks very well on its own or paired with poultry, salads.",,85,17,Mantinia,,Boutari 2010 Moschofilero (Mantinia),Moschofilero,Boutari,2010,"Mantinia,Greece",15.67276666,16.09409428,5.652146887,42.29539444,67.32253803,22.30290485,39.78373,-100.445882,833,44,11.5,750,White,Terlato Wines International
Spain,"An Albariño with some body and complexity, Nora's single-vineyard, barrel-aged wine is definitely an oaky one. It has lots of wood dust, vanilla and lemon curd on the nose. The flavor profile is led by apples and cinnamon (from the oak), and it flows well. Not a sticky, overoaked load; instead it has balance and quasi-Burgundian feel.",,89,28,Galicia,Rías Baixas,Nora da Neve 2006 Albarino (Rias Baixas),Albariño,Nora da Neve,2006,"Rías Baixas,Galicia,Spain",15.15150141,12.36486107,4.320660018,46.86140963,57.78149558,18.66696235,42.402507,-8.808344,28,57,13,750,White,Fine Estates From Spain
United States of America,"Saffron and spice pepper fresh lemon and grapefruit aromas on this exceptionally sheer, savory dry Riesling. A haze of citrus flavors fall like gossamer on the palate, extended by layers of dusty minerals on the finish.",Lahoma Vineyard The Knoll,87,35,New York,Finger Lakes,Red Newt Cellars 2013 Lahoma Vineyard The Knoll Riesling (Finger Lakes),Riesling,Red Newt Cellars,2013,"Finger Lakes,New York,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.621495,-84.198677,277,36,11.2,750,White,not_imported
Argentina,"Floral, young and jumpy smelling, with gumball aromas that leave you with the impression that the wine's clarity, balance and purity may be tenuous. The palate is raw but fresh, with simple but snappy wild berry flavors. Not a lot of structure or depth here.",,83,9,Mendoza Province,Mendoza,Tupun 2006 Malbec (Mendoza),Malbec,Tupun,2006,"Mendoza,Mendoza Province,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-34.870072,-68.547997,1032,45,13,750,Red,InterBev
United States of America,"Blackberries and some funk in the nose: earth, leather, even a whiff of banana. Dark chocolate and an interesting citrus element add character to the standard berry fruit in the mouth. It's youthful juice, needing time to flesh itself out; now there's a lot of rambunctious black oak, which makes the wine seem a bit one-dimensional.",,89,50,California,Howell Mountain,Pine Ridge 1997 Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,Pine Ridge,1997,"Howell Mountain,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.580219,-122.431384,572,56,14.2,750,Red,not_imported
France,"Fresh pear notes and a touch of white blossom appear on the nose. The palate is rounded with fruit and a touch of flavor-boosting residual sweetness. This is easy but generous, full of ripe pear fruit.",,89,16,Alsace,Alsace,Koenig 2015 Pinot Gris (Alsace),Pinot Gris,Koenig,2015,"Alsace,Alsace,France",10.99569921,14.43840141,5.074146556,76.11128248,57.33432783,18.02801744,49.127043,6.145731,170,36,13,750,White,Royal Wine Corporation
United States of America,"Oak dominates this wine, with vanilla, chocolate, buttered toast and caramel aromas and flavors. Under all that you'll find some good, ripe black cherry fruit. With soft tannins, it's ready to drink now.",Summers Ranch Reserve,87,30,California,Knights Valley,Summers 2008 Summers Ranch Reserve Merlot (Knights Valley),Merlot,Summers,2008,"Knights Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,44.888928,-116.072722,1593,33,14.2,750,Red,not_imported
United States of America,"The largest production offering of this variety for this producer, this features fruit sourced from a who's who of local growers, including Sangiacomo, Dutton and Martinelli, in addition to the estate-run Wildcat Mountain Vineyard. The result is satisfyingly impressive in viscous oak, graham cracker and Meyer lemon. Tangy and flinty on the finish, it's smooth and focused.",,91,25,California,Sonoma Coast,MacRostie 2013 Chardonnay (Sonoma Coast),Chardonnay,MacRostie,2013,"Sonoma Coast,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.41699,-123.099029,68,57,14.5,750,White,not_imported
United States of America,"Every effort seems to have been made to extract the maximum amount of richness from this wine, but the result is simply heavy, not to mention oaky and drily tannic. The tastes of are ripe mashed blackberries, anise, pepper and dark, unsweetened cocoa.",Big River Ranch,86,38,California,Alexander Valley,Bella 2007 Big River Ranch Zinfandel (Alexander Valley),Zinfandel,Bella,2007,"Alexander Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.469459,-99.55317,642,43,14,750,Red,not_imported
Australia,"This wine is much more convincing than Jenke's 2005 Cabernet, reinforcing the concept that Barossa Cab typically performs better in cooler years (2002 was the coolest on record). It's still broad and mouthfilling, but the plum and cassis flavors stay this side of overripe, buttressed by plenty of smoke, vanilla and spice. Long and savory on the finish. Drink now–2015. Imported by 34th Parallel, LLC.",,91,29,South Australia,Barossa,Jenke 2002 Cabernet Sauvignon (Barossa),Cabernet Sauvignon,Jenke,2002,"Barossa,South Australia,Australia",21.33444619,12.37687959,4.421156388,51.02601605,78.21717408,27.38081361,-34.581713,138.998787,506,65,14,750,Red,Jenke Vineyards
United States of America,"Sour plum, dried herb, pepper and tar scents show on the nose of this bottling from the widely available brand. The palate is tightly wound with sticky tannins, which are like to mellow with time, allowing the coffee, asphalt, elderberry and black currant flavors to shine more brightly.",Reserve,87,25,California,Monterey County,Estancia 2014 Reserve G-S-M (Monterey County),G-S-M,Estancia,2014,"Monterey County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,36.223108,-121.387743,443,48,14.5,750,Red,not_imported
United States of America,"The vineyard sources of Landmark's Grand Detour Pinot have varied, but the wine's quality is as high as ever. Made from five well-regarded properties, the '06 is intricately detailed, with complex flavors of dried cherries, red currants, mocha, licorice, sautéed mushrooms splashed with balsamic and smoky, vanilla-infused oak. The silky texture and spicy finish make it irresistible.",Grand Detour,93,35,California,Sonoma Coast,Landmark 2006 Grand Detour Pinot Noir (Sonoma Coast),Pinot Noir,Landmark,2006,"Sonoma Coast,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.41699,-123.099029,68,57,14.4,750,Red,not_imported
United States of America,"Well defined citrus and apple flavors abound, along with touches of yellow and green fruit. There's a hint of unripe papaya also, and if the wine spent any time in new oak, it's not evident.",Marsh Estate Vineyards,90,60,Oregon,Willamette Valley,Roco 2015 Marsh Estate Vineyards Chardonnay,Chardonnay,Roco,2015,"Willamette Valley,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,45.344287,-122.667037,50,35,13.5,750,White,not_imported
Spain,"Bready apple and spice aromas are layered, mildly complex and appealing. In the mouth, this is dry, leesy and tastes of toasted apple and nectarine. The finish hits the spot with proper weight, balance and lively acidity. Excellence in Cava may be fleeting, but this makes the grade.",Gran Reserva Brut,91,45,Catalonia,Cava,Agusti Torello Mata 2011 Gran Reserva Brut Sparkling (Cava),Sparkling Blend,Agustí Torelló Mata,2011,"Cava,Catalonia,Spain",15.15150141,12.36486107,4.320660018,46.86140963,57.78149558,18.66696235,42.325108,1.605788,1292,48,11.5,750,Sparkling,"Hidalgo Imports, LLC"
United States of America,"This blend of 75% Barbera and 25% Merlot smells and tastes of strawberries in dirt, a strange sensation for a wine.",Lola,80,28,California,Ramona Valley,Highland Hills Winery 2011 Lola Red (Ramona Valley),Red Blend,Highland Hills Winery,2011,"Ramona Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.597232,-97.061963,439,21,13.5,750,Red,not_imported
United States of America,"Plum and pomegranate play off each other in this monument to Howell Mountain, the wine dense and Rubenesque, suggesting further time in cellar, through 2022. With 1% Cabernet Franc blended in, the tannins and oak are well-integrated, spiking in tobacco and licorice.",,92,90,California,Howell Mountain,Pine Ridge 2012 Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,Pine Ridge,2012,"Howell Mountain,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.580219,-122.431384,572,42,15,750,Red,not_imported
United States of America,"This ripe, polished blend combines Zinfandel's spicy, briary quality with Syrah's peppery nobility. The wine is soft in both acids and tannins, and very flavorful, with exotic tastes of raspberries, root beer, chocolate mint and raisins.",Carmesi Syrah-Zinfandel,86,18,California,Calaveras County,Bodega del Sur 2002 Carmesi Syrah-Zinfandel Red (Calaveras County),Red Blend,Bodega del Sur,2002,"Calaveras County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.255818,-120.498149,880,36,14.3,750,Red,not_imported
France,"Reuilly has the peculiarity of having rosés from Pinot Gris, even though its reds are from Pinot Noir. This perfumed wine with its pale color brings out the slightly dusty character of the grape. That's contrasted with the intense acidity and black currant fruit flavors. Drink now.",Petit Gris,85,20,Loire Valley,Reuilly,Domaine Dyckerhoff 2014 Petit Gris Rose (Reuilly),Rosé,Domaine Dyckerhoff,2014,"Reuilly,Loire Valley,France",10.99569921,14.43840141,5.074146556,76.11128248,57.33432783,18.02801744,47.085121,2.043434,126,47,13,750,Rose,Michael Corso Selections
United States of America,"From a cool, well-known site in the new appellation, this wine offers a complexity of coconut macaroon, clove and cinnamon. Well-formed flavors and aromas accent a moderate level of acidity and tannin, providing elegant balance.",Lot 598,90,32,California,Coombsville,Cameron Hughes 2013 Lot 598 Cabernet Sauvignon (Coombsville),Cabernet Sauvignon,Cameron Hughes,2013,"Coombsville,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.297473,-122.269561,17,35,14.9,750,Red,not_imported
United States of America,"A new addition to the winery's lineup, this wine opens with aromas of underbrush, dark raspberries and red licorice. The palate shows an exquisite sense of restraint and polish along with a lengthy finish that kicks it up a notch. It's a very pretty, thoroughly beguiling wine.",Le Corbeau Discovery Vineyard,91,50,Washington,Horse Heaven Hills,Avennia 2014 Le Corbeau Discovery Vineyard Syrah (Horse Heaven Hills),Syrah,Avennia,2014,"Horse Heaven Hills,Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,47,14,750,Red,not_imported
Portugal,"This is a richly structured wine. With its juicy red fruits and generous structure, it is delicious now. Berry flavors and acidity go with the mineral edge of the texture to create a wine that is packed with acidity, tannins and fruit. Drink now.",Tinto,90,15,Dão,,Casa da Passarella 2014 Tinto Red (Dao),Portuguese Red,Casa da Passarella,2014,"Dão,Portugal",16.07577561,9.483322288,3.353981031,55.12418526,88.22825322,29.33222663,39.78373,-100.445882,833,44,13.5,750,Red,"M Imports, LLC"
United States of America,"A robust, spicy wine that offers lots of bang for the buck. The flavors range from lush raspberries and red cherries up through blackberries and currants, veering into mocha, and there's lots of crushed black pepper. Easy to like with steak, lamb, Mexican food.",The Slammer,88,14,California,Central Coast,Big House 2008 The Slammer Syrah (Central Coast),Syrah,Big House,2008,"Central Coast,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,-33.31171,151.312067,176,44,13.5,750,Red,not_imported
United States of America,"A small percentage of Petit Verdot was added to this Cab, the grapes sourced from throughout the Napa Valley. Cedar, mint and chocolate cassis come foreward on the palate, the wine slightly thin though oaky.",Diamond Selection,84,70,California,Napa Valley,Rombauer 2010 Diamond Selection Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Rombauer,2010,"Napa Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.023468,-84.450465,243,35,14.2,750,Red,not_imported
Austria,"A full-bodied wine, layering delicious apricot and pear fruits with lemon zest and an apple skin texture. With a great bite of acidity, this is a ripe yet also mineral wine. Screwcap.",Rotenpullen,90,20,Niederösterreich,,Pratsch 2009 Rotenpullen Gruner Veltliner (Niederosterreich),Grüner Veltliner,Pratsch,2009,"Niederösterreich,Austria",7.394704769,19.45019365,6.792561746,80.54383606,50.32248083,15.54089694,48.281781,15.763246,298,32,13.5,750,White,"Winesellers, Ltd"
United States of America,"Woody fruit notes of elderberry and bramble meet with graphite and sagebrush on the nose of this block-designated bottling from the longtime growing family. Plums and cranberries get a serious juniper and pine-sap twist on the palate, laid across lots of loamy earth. The grippy character will soften and protect this wine, so drink 2018–2025.",Block 3 Estate,91,50,California,Santa Lucia Highlands,McIntyre Vineyards 2013 Block 3 Estate Pinot Noir (Santa Lucia Highlands),Pinot Noir,McIntyre Vineyards,2013,"Santa Lucia Highlands,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,55,14.5,750,Red,not_imported
Italy,"A 50-50 blend of Cabernet Sauvignon and Cabernet Franc, this offers aromas of cedar, leafy underbrush, scorched earth, ripe dark fruit and ground black pepper. The palate delivers dried black currants, licorice, mint and tobacco alongside velvety tannins. Drink through 2019.",Boschivo,90,51,Tuscany,Toscana,Leopoldo I di Toscana 2011 Boschivo Red (Toscana),Red Blend,Leopoldo I di Toscana,2011,"Toscana,Tuscany,Italy",13.84565306,14.71520433,5.169522481,56.19966563,56.06968785,17.68605786,43.792284,11.332806,319,41,14.5,750,Red,"Mid-State Wine & Liquor, LP"
United States of America,"Aromas of yellow melon, faint wood and just a touch of nuttiness greet the nose on this bottling from Daniel LeFrancois' globetrotting brand. Barrel smoke hits the front of the palate, then evolves into golden pear and marzipan with a slightly oxidized but pleasant finish.",,87,25,California,Monterey,Wine Spots 2013 Chardonnay (Monterey),Chardonnay,Wine Spots,2013,"Monterey,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,36.584417,-121.866793,43,45,13.5,750,White,not_imported
France,"An almost creamy wave of pear fruit hits the nose. The palate is equally soft and full fruited, boosted by residual sweetness that makes the fruit fluid and rounded. This is countered by ample zesty freshness that has a pithy slightly bitter edge. The finish is just off dry and clean.",,88,15,Alsace,Alsace,Joseph Fritsch 2016 Pinot Gris (Alsace),Pinot Gris,Joseph Fritsch,2016,"Alsace,Alsace,France",10.99569921,14.43840141,5.074146556,76.11128248,57.33432783,18.02801744,49.127043,6.145731,170,51,12.5,750,White,Margaux & Company
Argentina,"After a rubbery, gaseous smelling opening, things settle on standard berry aromas. The palate feels full and fresh, with zesty acidity. Flavors of rubber and generic black fruits finish solid and dark.",Natal,86,14,Mendoza Province,Mendoza,Alpamanta 2010 Natal Malbec (Mendoza),Malbec,Alpamanta,2010,"Mendoza,Mendoza Province,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-34.870072,-68.547997,1032,32,13.5,750,Red,William Harrison Imports
United States of America,"With grapes from Upland Vineyard and aged in neutral French oak, this wine offers aromas of nori, cherry and tire rubber. It's supple and lithe in feel with explosive, concentrated umami flavors that shimmer with intensity, with olive notes on the finish. The aromas and flavors don't entirely marry at present but the feel simply dazzles.",,90,22,Washington,Yakima Valley,Idilico 2012 Monastrell (Yakima Valley),Monastrell,Idilico,2012,"Yakima Valley,Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,46.601557,-120.510842,325,56,14.1,750,Red,not_imported
United States of America,"A brightly aromatic wine with notes of candied fruit, raspberries, freshly ground herbs and cranberry. The palate has plump, ripe fruit flavors that glide on the finish.",Grenache,89,42,Washington,Snipes Mountain,Robert Ramsay 2011 Grenache Grenache (Snipes Mountain),Grenache,Robert Ramsay,2011,"Snipes Mountain,Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,46.311519,-120.08949,383,27,14.1,750,Red,not_imported
Portugal,"This is a rich wine dominated by ripe Alicante Bouschet that gives some firm tannins as well as juicy red berry fruits. It is ripe, well balanced and likely to age well over the next few years. Drink from 2017.",Bátoreus Selection,88,16,Tejo,,Terra Silvestre 2014 Batoreus Selection Red (Tejo),Portuguese Red,Terra Silvestre,2014,"Tejo,Portugal",16.07577561,9.483322288,3.353981031,55.12418526,88.22825322,29.33222663,39.78373,-100.445882,833,40,13.5,750,Red,Vinamericas Selections
New Zealand,"The only trouble with this bargain-priced version of a vendange tardive Pinot Gris will be finding some, as only 40 cases were imported. At only 11.6% alcohol, there's plenty of sugar left in the wine (67 g/l), concentrated and enriched by the inclusion of 50% botrytis-affected fruit. The impressions are of honeyed pineapple, ripe melon and peach preserves, finishing long and sweet. Delicious now, but should still be good 5–6 years down the road.",Estate,91,24,Waipara,,Mountford 2008 Estate Pinot Gris (Waipara),Pinot Gris,Mountford,2008,"Waipara,New Zealand",12.19364977,6.734552292,2.381810766,102.0731116,41.56097643,12.69657044,-43.058482,172.76024,75,74,11.6,750,White,Infinity Imports
Bulgaria,"Ripe fruit aromas of red raspberry, red plum and cassis lead the bouquet of this Bulgarian Mavrud, with secondary notes of smoked meats and cocoa powder that add intrigue. The silky mouthfeel has flavors of ripe red fruits followed by a bright acidic finish.",Ilaya Reserve,89,17,Thracian Valley,,Manastira 2013 Ilaya Reserve Mavrud (Thracian Valley),Mavrud,Manastira,2013,"Thracian Valley,Bulgaria",11.19911039,21.58143463,7.54185646,54.85948563,47.54406995,14.77838156,39.78373,-100.445882,833,44,13,750,Red,Old Town Wine Imports
United States of America,"This is buttery to a fault, with the overpowering aroma of microwave popcorn. Once in the mouth, the simple fruit flavors are buried, and the finish leaves a lightly bitter impression.",Estate Reserve,85,18,Oregon,Willamette Valley,David Hill 2010 Estate Reserve Chardonnay (Willamette Valley),Chardonnay,David Hill,2010,"Willamette Valley,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,45.344287,-122.667037,50,31,12.8,750,White,not_imported
